PartNumber,Category,Description, Price 
LIC-MS410-16-3YR,Switches,"Meraki MS410-16 Enterprise License and Support, 3YR"," 1,000.00 "
LIC-MS410-16-5YR,Switches,"Meraki MS410-16 Enterprise License and Support, 5YR"," 1,500.00 "
LIC-MS410-16-7YR,Switches,"Meraki MS410-16 Enterprise License and Support, 7YR"," 2,000.00 "
LIC-MS410-16-10YR,Switches,"Meraki MS410-16 Enterprise License and Support, 10YR"," 3,000.00 "
LIC-MS410-32-1YR,Switches,"Meraki MS410-32 Enterprise License and Support, 1YR", 880.00 
LIC-MS410-32-3YR,Switches,"Meraki MS410-32 Enterprise License and Support, 3YR"," 1,765.00 "
LIC-MS410-32-5YR,Switches,"Meraki MS410-32 Enterprise License and Support, 5YR"," 2,645.00 "
LIC-MS410-32-7YR,Switches,"Meraki MS410-32 Enterprise License and Support, 7YR"," 3,530.00 "
LIC-MS410-32-10YR,Switches,"Meraki MS410-32 Enterprise License and Support, 10YR"," 5,290.00 "
LIC-MS420-24-1YR,Switches,"EOS Meraki MS420-24 Enterprise License and Support, 1YR"," 1,200.00 "
LIC-MS420-24-3YR,Switches,"EOS Meraki MS420-24 Enterprise License and Support, 3YR"," 2,400.00 "
LIC-MS420-24-5YR,Switches,"EOS Meraki MS420-24 Enterprise License and Support, 5YR"," 3,600.00 "
LIC-MS420-24-7YR,Switches,"EOS Meraki MS420-24 Enterprise License and Support, 7YR"," 4,800.00 "
LIC-MS420-24-10YR,Switches,"EOS Meraki MS420-24 Enterprise License and Support, 10YR"," 6,000.00 "
LIC-MS420-48-1YR,Switches,"EOS Meraki MS420-48 Enterprise License and Support, 1YR"," 2,200.00 "
LIC-MS420-48-3YR,Switches,"EOS Meraki MS420-48 Enterprise License and Support, 3YR"," 4,400.00 "
LIC-MS420-48-5YR,Switches,"EOS Meraki MS420-48 Enterprise License and Support, 5YR"," 6,600.00 "
LIC-MS420-48-7YR,Switches,"EOS Meraki MS420-48 Enterprise License and Support, 7YR"," 8,800.00 "
LIC-MS420-48-10YR,Switches,"EOS Meraki MS420-48 Enterprise License and Support, 10YR"," 11,000.00 "
LIC-MS425-16-1YR,Switches,"Meraki MS425-16 Enterprise License and Support, 1YR", 825.00 
LIC-MS425-16-3YR,Switches,"Meraki MS425-16 Enterprise License and Support, 3YR"," 1,650.00 "
LIC-MS425-16-5YR,Switches,"Meraki MS425-16 Enterprise License and Support, 5YR"," 2,470.00 "
LIC-MS425-16-7YR,Switches,"Meraki MS425-16 Enterprise License and Support, 7YR"," 3,295.00 "
LIC-MS425-16-10YR,Switches,"Meraki MS425-16 Enterprise License and Support, 10YR"," 4,940.00 "
LIC-MS425-32-1YR,Switches,"Meraki MS425-32 Enterprise License and Support, 1YR"," 1,295.00 "
LIC-MS425-32-3YR,Switches,"Meraki MS425-32 Enterprise License and Support, 3YR"," 2,590.00 "
LIC-MS425-32-5YR,Switches,"Meraki MS425-32 Enterprise License and Support, 5YR"," 3,880.00 "
LIC-MS425-32-7YR,Switches,"Meraki MS425-32 Enterprise License and Support, 7YR"," 5,175.00 "
LIC-MS425-32-10YR,Switches,"Meraki MS425-32 Enterprise License and Support, 10YR"," 7,765.00 "
MV21-HW,Video,Meraki MV21 Cloud Managed Indoor HD Dome Camera," 1,299.00 "
MV71-HW,Video,Meraki MV71 Cloud Managed Outdoor HD Dome Camera," 1,499.00 "
LIC-MV-1YR,Video,"Meraki MV Enterprise License and Support, 1YR", 300.00 
LIC-MV-3YR,Video,"Meraki MV Enterprise License and Support, 3YR", 600.00 
LIC-MV-5YR,Video,"Meraki MV Enterprise License and Support, 5YR", 900.00 
LIC-MV-7YR,Video,"Meraki MV Enterprise License and Support, 7YR"," 1,260.00 "
LIC-MV-10YR,Video,"Meraki MV Enterprise License and Support, 10YR"," 1,800.00 "
LIC-SME-1YR,SME,"Cisco Meraki Systems Manager Enterprise Device License, 1YR", 40.00 
LIC-SME-3YR,SME,"Cisco Meraki Systems Manager Enterprise Device License, 3YR", 80.00 
LIC-SME-5YR,SME,"Cisco Meraki Systems Manager Enterprise Device License, 5YR", 120.00 
Z1-HW-US,Wireless,Meraki Z1 Cloud Managed Teleworker Gateway (US Plug), 395.00 
Z1-HW-EU,Wireless,Meraki Z1 Cloud Managed Teleworker Gateway (EU Plug), 395.00 
Z1-HW-UK,Wireless,Meraki Z1 Cloud Managed Teleworker Gateway (UK Plug), 395.00 
Z1-HW-AU,Wireless,Meraki Z1 Cloud Managed Teleworker Gateway (AU Plug), 395.00 
Z3-HW,Wireless,Meraki Z3 Cloud Managed Teleworker Gateway, 495.00 
LIC-Z1-ENT-1YR,Wireless,"Meraki Z1 Enterprise License and Support, 1YR", 50.00 
LIC-Z1-ENT-3YR,Wireless,"Meraki Z1 Enterprise License and Support, 3YR", 100.00 
LIC-Z1-ENT-5YR,Wireless,"Meraki Z1 Enterprise License and Support, 5YR", 150.00 
LIC-Z1-ENT-7YR,Wireless,"Meraki Z1 Enterprise License and Support, 7YR", 210.00 
LIC-Z1-ENT-10YR,Wireless,"Meraki Z1 Enterprise License and Support, 10YR", 300.00 
LIC-Z3-ENT-1YR,Wireless,"Meraki Z3 Enterprise License and Support, 1YR", 150.00 
LIC-Z3-ENT-3YR,Wireless,"Meraki Z3 Enterprise License and Support, 3YR", 300.00 
LIC-Z3-ENT-5YR,Wireless,"Meraki Z3 Enterprise License and Support, 5YR", 450.00 
LIC-Z3-ENT-7YR,Wireless,"Meraki Z3 Enterprise License and Support, 7YR", 630.00 
LIC-Z3-ENT-10YR,Wireless,"Meraki Z3 Enterprise License and Support, 10YR", 900.00 
MX64-HW,UTM,Meraki MX64 Cloud Managed Security Appliance, 595.00 
MX64W-HW,UTM,Meraki MX64W Cloud Managed Security Appliance with 802.11ac, 945.00 
MX65-HW,UTM,Meraki MX65 Cloud Managed Security Appliance, 945.00 
MX65W-HW,UTM,Meraki MX65W Cloud Managed Security Appliance with 802.11ac," 1,245.00 "
MX84-HW,UTM,Meraki MX84 Cloud Managed Security Appliance," 1,995.00 "
MX100-HW,UTM,Meraki MX100 Cloud Managed Security Appliance," 4,995.00 "
MX250-HW,UTM,Meraki MX250 Cloud Managed Security Appliance," 9,995.00 "
MX400-HW,UTM,Meraki MX400 Cloud Managed Security Appliance," 15,995.00 "
MX450-HW,UTM,Meraki MX450 Cloud Managed Security Appliance," 19,995.00 "
MX600-HW,UTM,Meraki MX600 Cloud Managed Security Appliance," 31,995.00 "
LIC-MX50-ENT-1YR,UTM,"EOS Meraki MX50 Enterprise License, 1YR", 500.00 
LIC-MX50-ENT-3YR,UTM,"EOS Meraki MX50 Enterprise License, 3YR"," 1,000.00 "
LIC-MX50-ENT-5YR,UTM,"EOS Meraki MX50 Enterprise License, 5YR"," 1,500.00 "
LIC-MX50-SEC-1YR,UTM,"EOS Meraki MX50 Advanced Security License, 1YR"," 1,000.00 "
LIC-MX50-SEC-3YR,UTM,"EOS Meraki MX50 Advanced Security License, 3YR"," 2,000.00 "
LIC-MX50-SEC-5YR,UTM,"EOS Meraki MX50 Advanced Security License, 5YR"," 3,000.00 "
LIC-MX60-ENT-1YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 1YR", 250.00 
LIC-MX60-ENT-3YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 3YR", 500.00 
LIC-MX60-ENT-5YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 5YR", 750.00 
LIC-MX60-ENT-7YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 7YR"," 1,050.00 "
LIC-MX60-ENT-10YR,UTM,"EOS Meraki MX60 Enterprise License and Support, 10YR"," 1,500.00 "
LIC-MX60-SEC-1YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 1YR", 500.00 
LIC-MX60-SEC-3YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 3YR"," 1,000.00 "
LIC-MX60-SEC-5YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 5YR"," 1,500.00 "
LIC-MX60-SEC-7YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 7YR"," 2,100.00 "
LIC-MX60-SEC-10YR,UTM,"EOS Meraki MX60 Advanced Security License and Support, 10YR"," 3,000.00 "
LIC-MX60W-ENT-1YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 1YR", 275.00 
LIC-MX60W-ENT-3YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 3YR", 550.00 
LIC-MX60W-ENT-5YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 5YR", 825.00 
LIC-MX60W-ENT-7YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 7YR"," 1,155.00 "
LIC-MX60W-ENT-10YR,UTM,"EOS Meraki MX60W Enterprise License and Support, 10YR"," 1,650.00 "
LIC-MX60W-SEC-1YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 1YR", 550.00 
LIC-MX60W-SEC-3YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 3YR"," 1,100.00 "
LIC-MX60W-SEC-5YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 5YR"," 1,650.00 "
LIC-MX60W-SEC-7YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 7YR"," 2,310.00 "
LIC-MX60W-SEC-10YR,UTM,"EOS Meraki MX60W Advanced Security License and Support, 10YR"," 3,300.00 "
LIC-MX64-ENT-1YR,UTM,"Meraki MX64 Enterprise License and Support, 1YR", 300.00 
LIC-MX64-ENT-3YR,UTM,"Meraki MX64 Enterprise License and Support, 3YR", 600.00 
LIC-MX64-ENT-5YR,UTM,"Meraki MX64 Enterprise License and Support, 5YR", 900.00 
LIC-MX64-ENT-7YR,UTM,"Meraki MX64 Enterprise License and Support, 7YR"," 1,260.00 "
LIC-MX64-ENT-10YR,UTM,"Meraki MX64 Enterprise License and Support, 10YR"," 1,800.00 "
LIC-MX64-SEC-1YR,UTM,"Meraki MX64 Advanced Security License and Support, 1YR", 600.00 
LIC-MX64-SEC-3YR,UTM,"Meraki MX64 Advanced Security License and Support, 3YR"," 1,200.00 "
LIC-MX64-SEC-5YR,UTM,"Meraki MX64 Advanced Security License and Support, 5YR"," 1,800.00 "
LIC-MX64-SEC-7YR,UTM,"Meraki MX64 Advanced Security License and Support, 7YR"," 2,520.00 "
LIC-MX64-SEC-10YR,UTM,"Meraki MX64 Advanced Security License and Support, 10YR"," 3,600.00 "
LIC-MX64W-ENT-1YR,UTM,"Meraki MX64W Enterprise License and Support, 1YR", 325.00 
LIC-MX64W-ENT-3YR,UTM,"Meraki MX64W Enterprise License and Support, 3YR", 650.00 
LIC-MX64W-ENT-5YR,UTM,"Meraki MX64W Enterprise License and Support, 5YR", 975.00 
LIC-MX64W-ENT-7YR,UTM,"Meraki MX64W Enterprise License and Support, 7YR"," 1,365.00 "
LIC-MX64W-ENT-10YR,UTM,"Meraki MX64W Enterprise License and Support, 10YR"," 1,950.00 "
LIC-MX64W-SEC-1YR,UTM,"Meraki MX64W Advanced Security License and Support, 1YR", 650.00 
LIC-MX64W-SEC-3YR,UTM,"Meraki MX64W Advanced Security License and Support, 3YR"," 1,300.00 "
LIC-MX64W-SEC-5YR,UTM,"Meraki MX64W Advanced Security License and Support, 5YR"," 1,950.00 "
LIC-MX64W-SEC-7YR,UTM,"Meraki MX64W Advanced Security License and Support, 7YR"," 2,730.00 "
LIC-MX64W-SEC-10YR,UTM,"Meraki MX64W Advanced Security License and Support, 10YR"," 3,900.00 "
LIC-MX65-ENT-1YR,UTM,"Meraki MX65 Enterprise License and Support, 1YR", 325.00 
LIC-MX65-ENT-3YR,UTM,"Meraki MX65 Enterprise License and Support, 3YR", 650.00 
LIC-MX65-ENT-5YR,UTM,"Meraki MX65 Enterprise License and Support, 5YR", 975.00 
LIC-MX65-ENT-7YR,UTM,"Meraki MX65 Enterprise License and Support, 7YR"," 1,365.00 "
LIC-MX65-ENT-10YR,UTM,"Meraki MX65 Enterprise License and Support, 10YR"," 1,950.00 "
LIC-MX65-SEC-1YR,UTM,"Meraki MX65 Advanced Security License and Support, 1YR", 650.00 
LIC-MX65-SEC-3YR,UTM,"Meraki MX65 Advanced Security License and Support, 3YR"," 1,300.00 "
LIC-MX65-SEC-5YR,UTM,"Meraki MX65 Advanced Security License and Support, 5YR"," 1,950.00 "
LIC-MX65-SEC-7YR,UTM,"Meraki MX65 Advanced Security License and Support, 7YR"," 2,730.00 "
LIC-MX65-SEC-10YR,UTM,"Meraki MX65 Advanced Security License and Support, 10YR"," 3,900.00 "
LIC-MX65W-ENT-1YR,UTM,"Meraki MX65W Enterprise License and Support, 1YR", 400.00 
LIC-MX65W-ENT-3YR,UTM,"Meraki MX65W Enterprise License and Support, 3YR", 800.00 
LIC-MX65W-ENT-5YR,UTM,"Meraki MX65W Enterprise License and Support, 5YR"," 1,200.00 "
LIC-MX65W-ENT-7YR,UTM,"Meraki MX65W Enterprise License and Support, 7YR"," 1,680.00 "
LIC-MX65W-ENT-10YR,UTM,"Meraki MX65W Enterprise License and Support, 10YR"," 2,400.00 "
LIC-MX65W-SEC-1YR,UTM,"Meraki MX65W Advanced Security License and Support, 1YR", 800.00 
LIC-MX65W-SEC-3YR,UTM,"Meraki MX65W Advanced Security License and Support, 3YR"," 1,600.00 "
LIC-MX65W-SEC-5YR,UTM,"Meraki MX65W Advanced Security License and Support, 5YR"," 2,400.00 "
LIC-MX65W-SEC-7YR,UTM,"Meraki MX65W Advanced Security License and Support, 7YR"," 3,360.00 "
LIC-MX65W-SEC-10YR,UTM,"Meraki MX65W Advanced Security License and Support, 10YR"," 4,800.00 "
LIC-MX70-ENT-1YR,UTM,"EOS Meraki MX70 Enterprise License, 1YR", 500.00 
LIC-MX70-ENT-3YR,UTM,"EOS Meraki MX70 Enterprise License, 3YR"," 1,000.00 "
LIC-MX70-ENT-5YR,UTM,"EOS Meraki MX70 Enterprise License, 5YR"," 1,500.00 "
LIC-MX70-SEC-1YR,UTM,"EOS Meraki MX70 Advanced Security License, 1YR"," 1,000.00 "
LIC-MX70-SEC-3YR,UTM,"EOS Meraki MX70 Advanced Security License, 3YR"," 2,000.00 "
LIC-MX70-SEC-5YR,UTM,"EOS Meraki MX70 Advanced Security License, 5YR"," 3,000.00 "
LIC-MX80-ENT-1YR,UTM,"EOS Meraki MX80 Enterprise License and Support, 1YR"," 1,000.00 "
LIC-MX80-ENT-3YR,UTM,"EOS Meraki MX80 Enterprise License and Support, 3YR"," 2,000.00 "
LIC-MX80-ENT-5YR,UTM,"EOS Meraki MX80 Enterprise License and Support, 5YR"," 3,000.00 "
LIC-MX80-ENT-7YR,UTM,"EOS Meraki MX80 Enterprise License and Support, 7YR"," 4,200.00 "
LIC-MX80-ENT-10YR,UTM,"EOS Meraki MX80 Enterprise License and Support, 10YR"," 6,000.00 "
LIC-MX80-SEC-1YR,UTM,"EOS Meraki MX80 Advanced Security License and Support, 1YR"," 2,000.00 "
LIC-MX80-SEC-3YR,UTM,"EOS Meraki MX80 Advanced Security License and Support, 3YR"," 4,000.00 "
LIC-MX80-SEC-5YR,UTM,"EOS Meraki MX80 Advanced Security License and Support, 5YR"," 6,000.00 "
LIC-MX80-SEC-7YR,UTM,"EOS Meraki MX80 Advanced Security License and Support, 7YR"," 8,400.00 "
LIC-MX80-SEC-10YR,UTM,"EOS Meraki MX80 Advanced Security License and Support, 10YR"," 12,000.00 "
LIC-MX84-ENT-1YR,UTM,"Meraki MX84 Enterprise License and Support, 1YR"," 1,000.00 "
LIC-MX84-ENT-3YR,UTM,"Meraki MX84 Enterprise License and Support, 3YR"," 2,000.00 "
LIC-MX84-ENT-5YR,UTM,"Meraki MX84 Enterprise License and Support, 5YR"," 3,000.00 "
LIC-MX84-ENT-7YR,UTM,"Meraki MX84 Enterprise License and Support, 7YR"," 4,200.00 "
LIC-MX84-ENT-10YR,UTM,"Meraki MX84 Enterprise License and Support, 10YR"," 6,000.00 "
LIC-MX84-SEC-1YR,UTM,"Meraki MX84 Advanced Security License and Support, 1YR"," 2,000.00 "
LIC-MX84-SEC-3YR,UTM,"Meraki MX84 Advanced Security License and Support, 3YR"," 4,000.00 "
LIC-MX84-SEC-5YR,UTM,"Meraki MX84 Advanced Security License and Support, 5YR"," 6,000.00 "
LIC-MX84-SEC-7YR,UTM,"Meraki MX84 Advanced Security License and Support, 7YR"," 8,400.00 "
LIC-MX84-SEC-10YR,UTM,"Meraki MX84 Advanced Security License and Support, 10YR"," 12,000.00 "
LIC-MX90-ENT-1YR,UTM,"EOS Meraki MX90 Enterprise License and Support, 1YR"," 2,000.00 "
LIC-MX90-ENT-3YR,UTM,"EOS Meraki MX90 Enterprise License and Support, 3YR"," 4,000.00 "
LIC-MX90-ENT-5YR,UTM,"EOS Meraki MX90 Enterprise License and Support, 5YR"," 6,000.00 "
LIC-MX90-ENT-7YR,UTM,"EOS Meraki MX90 Enterprise License and Support, 7YR"," 8,400.00 "
LIC-MX90-ENT-10YR,UTM,"EOS Meraki MX90 Enterprise License and Support, 10YR"," 12,000.00 "
LIC-MX90-SEC-1YR,UTM,"EOS Meraki MX90 Advanced Security License and Support, 1YR"," 4,000.00 "
LIC-MX90-SEC-3YR,UTM,"EOS Meraki MX90 Advanced Security License and Support, 3YR"," 8,000.00 "
LIC-MX90-SEC-5YR,UTM,"EOS Meraki MX90 Advanced Security License and Support, 5YR"," 12,000.00 "
LIC-MX90-SEC-7YR,UTM,"EOS Meraki MX90 Advanced Security License and Support, 7YR"," 16,800.00 "
LIC-MX90-SEC-10YR,UTM,"EOS Meraki MX90 Advanced Security License and Support, 10YR"," 24,000.00 "
LIC-MX100-ENT-1YR,UTM,"Meraki MX100 Enterprise License and Support, 1YR"," 2,500.00 "
LIC-MX100-ENT-3YR,UTM,"Meraki MX100 Enterprise License and Support, 3YR"," 5,000.00 "
LIC-MX100-ENT-5YR,UTM,"Meraki MX100 Enterprise License and Support, 5YR"," 7,500.00 "
LIC-MX100-ENT-7YR,UTM,"Meraki MX100 Enterprise License and Support, 7YR"," 10,500.00 "
LIC-MX100-ENT-10YR,UTM,"Meraki MX100 Enterprise License and Support, 10YR"," 15,000.00 "
LIC-MX100-SEC-1YR,UTM,"Meraki MX100 Advanced Security License and Support, 1YR"," 5,000.00 "
LIC-MX100-SEC-3YR,UTM,"Meraki MX100 Advanced Security License and Support, 3YR"," 10,000.00 "
LIC-MX100-SEC-5YR,UTM,"Meraki MX100 Advanced Security License and Support, 5YR"," 15,000.00 "
LIC-MX100-SEC-7YR,UTM,"Meraki MX100 Advanced Security License and Support, 7YR"," 21,000.00 "
LIC-MX100-SEC-10YR,UTM,"Meraki MX100 Advanced Security License and Support, 10YR"," 30,000.00 "
LIC-MX250-ENT-1YR,UTM,"Meraki MX250 Enterprise License and Support, 1YR"," 5,000.00 "
LIC-MX250-ENT-3YR,UTM,"Meraki MX250 Enterprise License and Support, 3YR"," 10,000.00 "
LIC-MX250-ENT-5YR,UTM,"Meraki MX250 Enterprise License and Support, 5YR"," 15,000.00 "
LIC-MX250-ENT-7YR,UTM,"Meraki MX250 Enterprise License and Support, 7YR"," 21,000.00 "
LIC-MX250-ENT-10YR,UTM,"Meraki MX250 Enterprise License and Support, 10YR"," 30,000.00 "
LIC-MX250-SEC-1YR,UTM,"Meraki MX250 Advanced Security License and Support, 1YR"," 10,000.00 "
LIC-MX250-SEC-3YR,UTM,"Meraki MX250 Advanced Security License and Support, 3YR"," 20,000.00 "
LIC-MX250-SEC-5YR,UTM,"Meraki MX250 Advanced Security License and Support, 5YR"," 30,000.00 "
LIC-MX250-SEC-7YR,UTM,"Meraki MX250 Advanced Security License and Support, 7YR"," 42,000.00 "
LIC-MX250-SEC-10YR,UTM,"Meraki MX250 Advanced Security License and Support, 10YR"," 60,000.00 "
LIC-MX400-ENT-1YR,UTM,"Meraki MX400 Enterprise License and Support, 1YR"," 8,000.00 "
LIC-MX400-ENT-3YR,UTM,"Meraki MX400 Enterprise License and Support, 3YR"," 16,000.00 "
LIC-MX400-ENT-5YR,UTM,"Meraki MX400 Enterprise License and Support, 5YR"," 24,000.00 "
LIC-MX400-ENT-7YR,UTM,"Meraki MX400 Enterprise License and Support, 7YR"," 33,600.00 "
LIC-MX400-ENT-10YR,UTM,"Meraki MX400 Enterprise License and Support, 10YR"," 48,000.00 "
LIC-MX400-SEC-1YR,UTM,"Meraki MX400 Advanced Security License and Support, 1YR"," 16,000.00 "
LIC-MX400-SEC-3YR,UTM,"Meraki MX400 Advanced Security License and Support, 3YR"," 32,000.00 "
LIC-MX400-SEC-5YR,UTM,"Meraki MX400 Advanced Security License and Support, 5YR"," 48,000.00 "
LIC-MX400-SEC-7YR,UTM,"Meraki MX400 Advanced Security License and Support, 7YR"," 67,200.00 "
LIC-MX400-SEC-10YR,UTM,"Meraki MX400 Advanced Security License and Support, 10YR"," 96,000.00 "
LIC-MX450-ENT-1YR,UTM,"Meraki MX450 Enterprise License and Support, 1YR"," 10,000.00 "
LIC-MX450-ENT-3YR,UTM,"Meraki MX450 Enterprise License and Support, 3YR"," 20,000.00 "
LIC-MX450-ENT-5YR,UTM,"Meraki MX450 Enterprise License and Support, 5YR"," 30,000.00 "
LIC-MX450-ENT-7YR,UTM,"Meraki MX450 Enterprise License and Support, 7YR"," 42,000.00 "
LIC-MX450-ENT-10YR,UTM,"Meraki MX450 Enterprise License and Support, 10YR"," 60,000.00 "
LIC-MX450-SEC-1YR,UTM,"Meraki MX450 Advanced Security License and Support, 1YR"," 20,000.00 "
LIC-MX450-SEC-3YR,UTM,"Meraki MX450 Advanced Security License and Support, 3YR"," 40,000.00 "
LIC-MX450-SEC-5YR,UTM,"Meraki MX450 Advanced Security License and Support, 5YR"," 60,000.00 "
LIC-MX450-SEC-7YR,UTM,"Meraki MX450 Advanced Security License and Support, 7YR"," 84,000.00 "
LIC-MX450-SEC-10YR,UTM,"Meraki MX450 Advanced Security License and Support, 10YR"," 120,000.00 "
LIC-MX600-ENT-1YR,UTM,"Meraki MX600 Enterprise License and Support, 1YR"," 16,000.00 "
LIC-MX600-ENT-3YR,UTM,"Meraki MX600 Enterprise License and Support, 3YR"," 32,000.00 "
LIC-MX600-ENT-5YR,UTM,"Meraki MX600 Enterprise License and Support, 5YR"," 48,000.00 "
LIC-MX600-ENT-7YR,UTM,"Meraki MX600 Enterprise License and Support, 7YR"," 67,200.00 "
LIC-MX600-ENT-10YR,UTM,"Meraki MX600 Enterprise License and Support, 10YR"," 96,000.00 "
LIC-MX600-SEC-1YR,UTM,"Meraki MX600 Advanced Security License and Support, 1YR"," 32,000.00 "
LIC-MX600-SEC-3YR,UTM,"Meraki MX600 Advanced Security License and Support, 3YR"," 64,000.00 "
LIC-MX600-SEC-5YR,UTM,"Meraki MX600 Advanced Security License and Support, 5YR"," 96,000.00 "
LIC-MX600-SEC-7YR,UTM,"Meraki MX600 Advanced Security License and Support, 7YR"," 134,400.00 "
LIC-MX600-SEC-10YR,UTM,"Meraki MX600 Advanced Security License and Support, 10YR"," 192,000.00 "
LIC-VMX100-1YR,UTM,"Meraki vMX100 License and Support, 1YR"," 2,500.00 "
LIC-VMX100-3YR,UTM,"Meraki vMX100 License and Support, 3YR"," 5,000.00 "
LIC-VMX100-5YR,UTM,"Meraki vMX100 License and Support, 5YR"," 7,500.00 "
IM-8-CU-1GB,Accessories,Meraki 8 x 1 GbE Copper Interface Module for MX400 and MX600," 3,999.00 "
IM-8-SFP-1GB,Accessories,Meraki 8 x 1 GbE SFP Interface Module for MX400 and MX600," 4,999.00 "
IM-2-SFP-10GB,Accessories,Meraki 2 x 10 GbE SFP+ Interface Module for MX400 and MX600," 3,999.00 "
MA-PWR-CORD-EU,Accessories,Meraki AC Power Cord for MX and MS (EU Plug), 19.00 
MA-PWR-CORD-UK,Accessories,Meraki AC Power Cord for MX and MS (UK Plug), 19.00 
MA-PWR-CORD-AU,Accessories,Meraki AC Power Cord for MX and MS (AU Plug), 19.00 
MA-PWR-CORD-US,Accessories,Meraki AC Power Cord for MX and MS (US Plug), 19.00 
MA-PWR-CORD-JP,Accessories,Meraki AC Power Cord for MX and MS (JP Plug), 19.00 
MA-PWR-250WAC,Accessories,Meraki 250WAC PSU, 450.00 
MA-PWR-640WAC,Accessories,Meraki 640WAC PSU, 950.00 
MA-PWR-1025WAC,Accessories,Meraki 1025WAC PSU," 1,450.00 "
PWR-MS420-400AC-R,Accessories,Meraki MS420 400WAC Front-to-Back PSU," 2,000.00 "
MA-PWR-30WAC,Accessories,Meraki MX64 Replacement Power Adapter (30 WAC), 65.00 
MA-PWR-90WAC,Accessories,Meraki MX65 Replacement Power Adapter (90 WAC), 160.00 
MA-FAN-18K,Accessories,"Meraki Front-to-Back Fan, 18K RPM", 250.00 
MA-FAN-16K,Accessories,"Meraki Front-to-Back Fan, 16K RPM", 250.00 
MA-SFP-10GB-LR,Accessories,Meraki 10G Base LR Single-Mode," 3,995.00 "
MA-SFP-10GB-LRM,Accessories,Meraki 10G Base LRM Multi-Mode, 995.00 
MA-SFP-10GB-SR,Accessories,Meraki 10G Base SR Multi-Mode, 995.00 
MA-SFP-1GB-LX10,Accessories,Meraki 1000Base LX10 Single-Mode, 995.00 
MA-SFP-1GB-SX,Accessories,Meraki 1000Base SX Multi-Mode, 500.00 
MA-SFP-1GB-TX,Accessories,Meraki 1 GbE SFP Copper Module, 395.00 
MA-QSFP-40G-SR4,Accessories,Meraki SR4 QSFP 40G Transceiver," 2,995.00 "
MA-QSFP-40G-LR4,Accessories,Meraki LR4 QSFP 40G Transceiver," 10,900.00 "
MA-QSFP-40G-CSR4,Accessories,Meraki CSR4 QSFP 40G Transceiver," 2,995.00 "
MA-QSFP-40G-SR-BD,Accessories,Meraki SR-BD QSFP 40G Transceiver," 1,095.00 "
MA-CBL-TA-1M,Accessories,"Meraki 10 GbE Twinax Cable with SFP+ Modules, 1 Meter", 100.00 
MA-CBL-TA-3M,Accessories,"Meraki 10 GbE Twinax Cable with SFP+ Modules, 3 Meter", 150.00 
MA-CBL-40G-50CM,Accessories,"Meraki 40GbE QSFP Cable, 0.5 Meter", 100.00 
MA-CBL-40G-1M,Accessories,"Meraki 40GbE QSFP Cable, 1 Meter", 200.00 
MA-CBL-40G-3M,Accessories,"Meraki 40GbE QSFP Cable, 3 Meter", 300.00 
MA-ANT-MX,Accessories,Meraki Wireless MX Replacement Antenna, 25.00 
MA-MNT-MV-1,Accessories,Meraki Wall Mount Arm for MV21 and MV71, 249.00 
MA-MNT-MV-2,Accessories,Meraki Pole Mount for MV71, 199.00 
MA-MNT-MV-3,Accessories,Meraki L-Shape Wall Mount Bracket for MV21 and MV71, 199.00 
MA-MNT-MID-1,Accessories,Meraki MS225 and MS250 Mid-Mount Kit, 75.00 
MA-MNT-CLG-1,Accessories,Meraki T-Rail Channel Adapter Mount Kit, 25.00 
MR30H-HW,Wireless,Meraki MR30H Cloud Managed AP, 599.00 
MR33-HW,Wireless,Meraki MR33 Cloud Managed AP, 649.00 
MR42-HW,Wireless,Meraki MR42 Cloud Managed AP," 1,099.00 "
MR52-HW,Wireless,Meraki MR52 Cloud Managed AP," 1,399.00 "
MR53-HW,Wireless,Meraki MR53 Cloud Managed AP," 1,699.00 "
MR62-HW,Wireless,Meraki MR62 Cloud Managed AP, 699.00 
MR74-HW,Wireless,Meraki MR74 Cloud Managed AP," 1,399.00 "
MR84-HW,Wireless,Meraki MR84 Cloud Managed AP," 2,399.00 "
LIC-ENT-1YR,Wireless,"Meraki MR Enterprise License, 1YR", 150.00 
LIC-ENT-3YR,Wireless,"Meraki MR Enterprise License, 3YR", 300.00 
LIC-ENT-5YR,Wireless,"Meraki MR Enterprise License, 5YR", 450.00 
LIC-ENT-7YR,Wireless,"Meraki MR Enterprise License, 7YR", 630.00 
