PartNumber,Category,Description, Price 
LIC-MS120-8-3YR,Switches,"Meraki MS120-8 Enterprise License and Support, 3 Year", 80.00 
LIC-MS120-8-5YR,Switches,"Meraki MS120-8 Enterprise License and Support, 5 Year", 115.00 
LIC-MS120-8-7YR,Switches,"Meraki MS120-8 Enterprise License and Support, 7 Year", 165.00 
LIC-MS120-8-10YR,Switches,"Meraki MS120-8 Enterprise License and Support, 10 Year", 240.00 
LIC-MS120-8LP-1YR,Switches,"Meraki MS120-8LP Enterprise License and Support, 1 Year", 50.00 
LIC-MS120-8LP-3YR,Switches,"Meraki MS120-8LP Enterprise License and Support, 3 Year", 100.00 
LIC-MS120-8LP-5YR,Switches,"Meraki MS120-8LP Enterprise License and Support, 5 Year", 150.00 
LIC-MS120-8LP-7YR,Switches,"Meraki MS120-8LP Enterprise License and Support, 7 Year", 210.00 
LIC-MS120-8LP-10YR,Switches,"Meraki MS120-8LP Enterprise License and Support, 10 Year", 300.00 
LIC-MS120-8FP-1YR,Switches,"Meraki MS120-8FP Enterprise License and Support, 1 Year", 65.00 
LIC-MS120-8FP-3YR,Switches,"Meraki MS120-8FP Enterprise License and Support, 3 Year", 130.00 
LIC-MS120-8FP-5YR,Switches,"Meraki MS120-8FP Enterprise License and Support, 5 Year", 195.00 
LIC-MS120-8FP-7YR,Switches,"Meraki MS120-8FP Enterprise License and Support, 7 Year", 275.00 
LIC-MS120-8FP-10YR,Switches,"Meraki MS120-8FP Enterprise License and Support, 10 Year", 390.00 
LIC-MS120-24-1YR,Switches,"Meraki MS120-24 Enterprise License and Support, 1 Year", 90.00 
LIC-MS120-24-3YR,Switches,"Meraki MS120-24 Enterprise License and Support, 3 Year", 185.00 
LIC-MS120-24-5YR,Switches,"Meraki MS120-24 Enterprise License and Support, 5 Year", 275.00 
LIC-MS120-24-7YR,Switches,"Meraki MS120-24 Enterprise License and Support, 7 Year", 380.00 
LIC-MS120-24-10YR,Switches,"Meraki MS120-24 Enterprise License and Support, 10 Year", 540.00 
LIC-MS120-24P-1YR,Switches,"Meraki MS120-24P Enterprise License and Support, 1 Year", 145.00 
LIC-MS120-24P-3YR,Switches,"Meraki MS120-24P Enterprise License and Support, 3 Year", 285.00 
LIC-MS120-24P-5YR,Switches,"Meraki MS120-24P Enterprise License and Support, 5 Year", 430.00 
LIC-MS120-24P-7YR,Switches,"Meraki MS120-24P Enterprise License and Support, 7 Year", 600.00 
LIC-MS120-24P-10YR,Switches,"Meraki MS120-24P Enterprise License and Support, 10 Year", 860.00 
LIC-MS120-48-1YR,Switches,"Meraki MS120-48 Enterprise License and Support, 1 Year", 165.00 
LIC-MS120-48-3YR,Switches,"Meraki MS120-48 Enterprise License and Support, 3 Year", 330.00 
LIC-MS120-48-5YR,Switches,"Meraki MS120-48 Enterprise License and Support, 5 Year", 495.00 
LIC-MS120-48-7YR,Switches,"Meraki MS120-48 Enterprise License and Support, 7 Year", 695.00 
LIC-MS120-48-10YR,Switches,"Meraki MS120-48 Enterprise License and Support, 10 Year", 990.00 
LIC-MS120-48LP-1YR,Switches,"Meraki MS120-48LP Enterprise License and Support, 1 Year", 220.00 
LIC-MS120-48LP-3YR,Switches,"Meraki MS120-48LP Enterprise License and Support, 3 Year", 445.00 
LIC-MS120-48LP-5YR,Switches,"Meraki MS120-48LP Enterprise License and Support, 5 Year", 665.00 
LIC-MS120-48LP-7YR,Switches,"Meraki MS120-48LP Enterprise License and Support, 7 Year", 930.00 
LIC-MS120-48LP-10Y,Switches,"Meraki MS120-48LP Enterprise License and Support, 10 Year"," 1,330.00 "
LIC-MS210-24-1YR,Switches,"Meraki MS210-24 Enterprise License and Support, 1 Year", 170.00 
LIC-MS210-24-3YR,Switches,"Meraki MS210-24 Enterprise License and Support, 3 Year", 340.00 
LIC-MS210-24-5YR,Switches,"Meraki MS210-24 Enterprise License and Support, 5 Year", 505.00 
LIC-MS210-24-7YR,Switches,"Meraki MS210-24 Enterprise License and Support, 7 Year", 710.00 
LIC-MS210-24-10YR,Switches,"Meraki MS210-24 Enterprise License and Support, 10 Year"," 1,010.00 "
LIC-MS210-24P-1YR,Switches,"Meraki MS210-24P Enterprise License and Support, 1 Year", 210.00 
LIC-MS210-24P-3YR,Switches,"Meraki MS210-24P Enterprise License and Support, 3 Year", 420.00 
LIC-MS210-24P-5YR,Switches,"Meraki MS210-24P Enterprise License and Support, 5 Year", 625.00 
LIC-MS210-24P-7YR,Switches,"Meraki MS210-24P Enterprise License and Support, 7 Year", 875.00 
LIC-MS210-24P-10YR,Switches,"Meraki MS210-24P Enterprise License and Support, 10 Year"," 1,250.00 "
LIC-MS210-48-1YR,Switches,"Meraki MS210-48 Enterprise License and Support, 1 Year", 260.00 
LIC-MS210-48-3YR,Switches,"Meraki MS210-48 Enterprise License and Support, 3 Year", 515.00 
LIC-MS210-48-5YR,Switches,"Meraki MS210-48 Enterprise License and Support, 5 Year", 770.00 
LIC-MS210-48-7YR,Switches,"Meraki MS210-48 Enterprise License and Support, 7 Year"," 1,080.00 "
LIC-MS210-48-10YR,Switches,"Meraki MS210-48 Enterprise License and Support, 10 Year"," 1,540.00 "
LIC-MS210-48LP-1YR,Switches,"Meraki MS210-48LP Enterprise License and Support, 1 Year", 325.00 
LIC-MS210-48LP-3YR,Switches,"Meraki MS210-48LP Enterprise License and Support, 3 Year", 650.00 
LIC-MS210-48LP-5YR,Switches,"Meraki MS210-48LP Enterprise License and Support, 5 Year", 970.00 
LIC-MS210-48LP-7YR,Switches,"Meraki MS210-48LP Enterprise License and Support, 7 Year"," 1,360.00 "
LIC-MS210-48LP-10Y,Switches,"Meraki MS210-48LP Enterprise License and Support, 10 Year"," 1,940.00 "
LIC-MS210-48FP-1YR,Switches,"Meraki MS210-48FP Enterprise License and Support, 1 Year", 370.00 
LIC-MS210-48FP-3YR,Switches,"Meraki MS210-48FP Enterprise License and Support, 3 Year", 745.00 
LIC-MS210-48FP-5YR,Switches,"Meraki MS210-48FP Enterprise License and Support, 5 Year"," 1,115.00 "
LIC-MS210-48FP-7YR,Switches,"Meraki MS210-48FP Enterprise License and Support, 7 Year"," 1,560.00 "
LIC-MS210-48FP-10Y,Switches,"Meraki MS210-48FP Enterprise License and Support, 10 Year"," 2,230.00 "
LIC-MS220-8-1YR,Switches,"Meraki MS220-8 Enterprise License and Support, 1YR", 55.00 
LIC-MS220-8-3YR,Switches,"Meraki MS220-8 Enterprise License and Support, 3YR", 110.00 
LIC-MS220-8-5YR,Switches,"Meraki MS220-8 Enterprise License and Support, 5YR", 165.00 
LIC-MS220-8-7YR,Switches,"Meraki MS220-8 Enterprise License and Support, 7YR", 220.00 
LIC-MS220-8-10YR,Switches,"Meraki MS220-8 Enterprise License and Support, 10YR", 275.00 
LIC-MS220-8P-1YR,Switches,"Meraki MS220-8P Enterprise License and Support, 1YR", 70.00 
LIC-MS220-8P-3YR,Switches,"Meraki MS220-8P Enterprise License and Support, 3YR", 140.00 
LIC-MS220-8P-5YR,Switches,"Meraki MS220-8P Enterprise License and Support, 5YR", 210.00 
LIC-MS220-8P-7YR,Switches,"Meraki MS220-8P Enterprise License and Support, 7YR", 280.00 
LIC-MS220-8P-10YR,Switches,"Meraki MS220-8P Enterprise License and Support, 10YR", 350.00 
LIC-MS220-24-1YR,Switches,"EOS Meraki MS220-24 Enterprise License and Support, 1YR", 120.00 
LIC-MS220-24-3YR,Switches,"EOS Meraki MS220-24 Enterprise License and Support, 3YR", 240.00 
LIC-MS220-24-5YR,Switches,"EOS Meraki MS220-24 Enterprise License and Support, 5YR", 360.00 
LIC-MS220-24-7YR,Switches,"EOS Meraki MS220-24 Enterprise License and Support, 7YR", 480.00 
LIC-MS220-24-10YR,Switches,"EOS Meraki MS220-24 Enterprise License and Support, 10YR", 600.00 
LIC-MS220-24P-1YR,Switches,"EOS Meraki MS220-24P Enterprise License and Support, 1YR", 160.00 
LIC-MS220-24P-3YR,Switches,"EOS Meraki MS220-24P Enterprise License and Support, 3YR", 320.00 
LIC-MS220-24P-5YR,Switches,"EOS Meraki MS220-24P Enterprise License and Support, 5YR", 480.00 
LIC-MS220-24P-7YR,Switches,"EOS Meraki MS220-24P Enterprise License and Support, 7YR", 640.00 
LIC-MS220-24P-10YR,Switches,"EOS Meraki MS220-24P Enterprise License and Support, 10YR", 800.00 
LIC-MS220-48-1YR,Switches,"EOS Meraki MS220-48 Enterprise License and Support, 1YR", 210.00 
LIC-MS220-48-3YR,Switches,"EOS Meraki MS220-48 Enterprise License and Support, 3YR", 420.00 
LIC-MS220-48-5YR,Switches,"EOS Meraki MS220-48 Enterprise License and Support, 5YR", 630.00 
LIC-MS220-48-7YR,Switches,"EOS Meraki MS220-48 Enterprise License and Support, 7YR", 840.00 
LIC-MS220-48-10YR,Switches,"EOS Meraki MS220-48 Enterprise License and Support, 10YR"," 1,050.00 "
LIC-MS220-48LP-1YR,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 1YR", 280.00 
LIC-MS220-48LP-3YR,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 3YR", 560.00 
LIC-MS220-48LP-5YR,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 5YR", 840.00 
LIC-MS220-48LP-7YR,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 7YR"," 1,120.00 "
LIC-MS220-48LP-10Y,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 10YR"," 1,400.00 "
LIC-MS220-48FP-1YR,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 1YR", 330.00 
LIC-MS220-48FP-3YR,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 3YR", 660.00 
LIC-MS220-48FP-5YR,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 5YR", 990.00 
LIC-MS220-48FP-7YR,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 7YR"," 1,320.00 "
LIC-MS220-48FP-10Y,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 10YR"," 1,650.00 "
LIC-MS225-24-1YR,Switches,"Meraki MS225-24 Enterprise License and Support, 1YR", 250.00 
LIC-MS225-24-3YR,Switches,"Meraki MS225-24 Enterprise License and Support, 3YR", 460.00 
LIC-MS225-24-5YR,Switches,"Meraki MS225-24 Enterprise License and Support, 5YR", 710.00 
LIC-MS225-24-7YR,Switches,"Meraki MS225-24 Enterprise License and Support, 7YR", 920.00 
LIC-MS225-24-10YR,Switches,"Meraki MS225-24 Enterprise License and Support, 10YR"," 1,170.00 "
LIC-MS225-24P-1YR,Switches,"Meraki MS225-24P Enterprise License and Support, 1YR", 290.00 
LIC-MS225-24P-3YR,Switches,"Meraki MS225-24P Enterprise License and Support, 3YR", 535.00 
LIC-MS225-24P-5YR,Switches,"Meraki MS225-24P Enterprise License and Support, 5YR", 825.00 
LIC-MS225-24P-7YR,Switches,"Meraki MS225-24P Enterprise License and Support, 7YR"," 1,070.00 "
LIC-MS225-24P-10YR,Switches,"Meraki MS225-24P Enterprise License and Support, 10YR"," 1,360.00 "
LIC-MS225-48-1YR,Switches,"Meraki MS225-48 Enterprise License and Support, 1YR", 345.00 
LIC-MS225-48-3YR,Switches,"Meraki MS225-48 Enterprise License and Support, 3YR", 630.00 
LIC-MS225-48-5YR,Switches,"Meraki MS225-48 Enterprise License and Support, 5YR", 970.00 
LIC-MS225-48-7YR,Switches,"Meraki MS225-48 Enterprise License and Support, 7YR"," 1,260.00 "
LIC-MS225-48-10YR,Switches,"Meraki MS225-48 Enterprise License and Support, 10YR"," 1,600.00 "
LIC-MS225-48LP-1YR,Switches,"Meraki MS225-48LP Enterprise License and Support, 1YR", 415.00 
LIC-MS225-48LP-3YR,Switches,"Meraki MS225-48LP Enterprise License and Support, 3YR", 760.00 
LIC-MS225-48LP-5YR,Switches,"Meraki MS225-48LP Enterprise License and Support, 5YR"," 1,175.00 "
LIC-MS225-48LP-7YR,Switches,"Meraki MS225-48LP Enterprise License and Support, 7YR"," 1,520.00 "
LIC-MS225-48LP-10Y,Switches,"Meraki MS225-48LP Enterprise License and Support, 10YR"," 1,935.00 "
LIC-MS225-48FP-1YR,Switches,"Meraki MS225-48FP Enterprise License and Support, 1YR", 465.00 
LIC-MS225-48FP-3YR,Switches,"Meraki MS225-48FP Enterprise License and Support, 3YR", 855.00 
LIC-MS225-48FP-5YR,Switches,"Meraki MS225-48FP Enterprise License and Support, 5YR"," 1,320.00 "
LIC-MS225-48FP-7YR,Switches,"Meraki MS225-48FP Enterprise License and Support, 7YR"," 1,710.00 "
LIC-MS225-48FP-10Y,Switches,"Meraki MS225-48FP Enterprise License and Support, 10YR"," 2,175.00 "
LIC-MS250-24-1YR,Switches,"Meraki MS250-24 Enterprise License and Support, 1YR", 360.00 
LIC-MS250-24-3YR,Switches,"Meraki MS250-24 Enterprise License and Support, 3YR", 655.00 
LIC-MS250-24-5YR,Switches,"Meraki MS250-24 Enterprise License and Support, 5YR"," 1,015.00 "
LIC-MS250-24-7YR,Switches,"Meraki MS250-24 Enterprise License and Support, 7YR"," 1,315.00 "
LIC-MS250-24-10YR,Switches,"Meraki MS250-24 Enterprise License and Support, 10YR"," 1,675.00 "
LIC-MS250-24P-1YR,Switches,"Meraki MS250-24P Enterprise License and Support, 1YR", 390.00 
LIC-MS250-24P-3YR,Switches,"Meraki MS250-24P Enterprise License and Support, 3YR", 715.00 
LIC-MS250-24P-5YR,Switches,"Meraki MS250-24P Enterprise License and Support, 5YR"," 1,105.00 "
LIC-MS250-24P-7YR,Switches,"Meraki MS250-24P Enterprise License and Support, 7YR"," 1,425.00 "
LIC-MS250-24P-10YR,Switches,"Meraki MS250-24P Enterprise License and Support, 10YR"," 1,815.00 "
LIC-MS250-48-1YR,Switches,"Meraki MS250-48 Enterprise License and Support, 1YR", 500.00 
LIC-MS250-48-3YR,Switches,"Meraki MS250-48 Enterprise License and Support, 3YR", 920.00 
LIC-MS250-48-5YR,Switches,"Meraki MS250-48 Enterprise License and Support, 5YR"," 1,420.00 "
LIC-MS250-48-7YR,Switches,"Meraki MS250-48 Enterprise License and Support, 7YR"," 1,840.00 "
LIC-MS250-48-10YR,Switches,"Meraki MS250-48 Enterprise License and Support, 10YR"," 2,340.00 "
LIC-MS250-48LP-1YR,Switches,"Meraki MS250-48LP Enterprise License and Support, 1YR", 575.00 
LIC-MS250-48LP-3YR,Switches,"Meraki MS250-48LP Enterprise License and Support, 3YR"," 1,050.00 "
LIC-MS250-48LP-5YR,Switches,"Meraki MS250-48LP Enterprise License and Support, 5YR"," 1,625.00 "
LIC-MS250-48LP-7YR,Switches,"Meraki MS250-48LP Enterprise License and Support, 7YR"," 2,105.00 "
LIC-MS250-48LP-10Y,Switches,"Meraki MS250-48LP Enterprise License and Support, 10YR"," 2,680.00 "
LIC-MS250-48FP-1YR,Switches,"Meraki MS250-48FP Enterprise License and Support, 1YR", 625.00 
LIC-MS250-48FP-3YR,Switches,"Meraki MS250-48FP Enterprise License and Support, 3YR"," 1,145.00 "
LIC-MS250-48FP-5YR,Switches,"Meraki MS250-48FP Enterprise License and Support, 5YR"," 1,770.00 "
LIC-MS250-48FP-7YR,Switches,"Meraki MS250-48FP Enterprise License and Support, 7YR"," 2,290.00 "
LIC-MS250-48FP-10Y,Switches,"Meraki MS250-48FP Enterprise License and Support, 10YR"," 2,920.00 "
LIC-MS320-24-1YR,Switches,"EOS Meraki MS320-24 Enterprise License and Support, 1YR", 250.00 
LIC-MS320-24-3YR,Switches,"EOS Meraki MS320-24 Enterprise License and Support, 3YR", 500.00 
LIC-MS320-24-5YR,Switches,"EOS Meraki MS320-24 Enterprise License and Support, 5YR", 750.00 
LIC-MS320-24-7YR,Switches,"EOS Meraki MS320-24 Enterprise License and Support, 7YR"," 1,000.00 "
LIC-MS320-24-10YR,Switches,"EOS Meraki MS320-24 Enterprise License and Support, 10YR"," 1,255.00 "
LIC-MS320-24P-1YR,Switches,"EOS Meraki MS320-24P Enterprise License and Support, 1YR", 275.00 
LIC-MS320-24P-3YR,Switches,"EOS Meraki MS320-24P Enterprise License and Support, 3YR", 550.00 
LIC-MS320-24P-5YR,Switches,"EOS Meraki MS320-24P Enterprise License and Support, 5YR", 830.00 
LIC-MS320-24P-7YR,Switches,"EOS Meraki MS320-24P Enterprise License and Support, 7YR"," 1,105.00 "
LIC-MS320-24P-10YR,Switches,"EOS Meraki MS320-24P Enterprise License and Support, 10YR"," 1,380.00 "
LIC-MS320-48-1YR,Switches,"EOS Meraki MS320-48 Enterprise License and Support, 1YR", 370.00 
LIC-MS320-48-3YR,Switches,"EOS Meraki MS320-48 Enterprise License and Support, 3YR", 740.00 
LIC-MS320-48-5YR,Switches,"EOS Meraki MS320-48 Enterprise License and Support, 5YR"," 1,110.00 "
LIC-MS320-48-7YR,Switches,"EOS Meraki MS320-48 Enterprise License and Support, 7YR"," 1,480.00 "
LIC-MS320-48-10YR,Switches,"EOS Meraki MS320-48 Enterprise License and Support, 10YR"," 1,850.00 "
LIC-MS320-48LP-1YR,Switches,"EOS Meraki MS320-48LP Enterprise License and Support, 1YR", 430.00 
LIC-MS320-48LP-3YR,Switches,"EOS Meraki MS320-48LP Enterprise License and Support, 3YR", 860.00 
LIC-MS320-48LP-5YR,Switches,"EOS Meraki MS320-48LP Enterprise License and Support, 5YR"," 1,290.00 "
LIC-MS320-48LP-7YR,Switches,"EOS Meraki MS320-48LP Enterprise License and Support, 7YR"," 1,715.00 "
LIC-MS320-48LP-10Y,Switches,"EOS Meraki MS320-48LP Enterprise License and Support, 10YR"," 2,150.00 "
LIC-MS320-48FP-1YR,Switches,"EOS Meraki MS320-48FP Enterprise License and Support, 1YR", 470.00 
LIC-MS320-48FP-3YR,Switches,"EOS Meraki MS320-48FP Enterprise License and Support, 3YR", 945.00 
LIC-MS320-48FP-5YR,Switches,"EOS Meraki MS320-48FP Enterprise License and Support, 5YR"," 1,415.00 "
LIC-MS320-48FP-7YR,Switches,"EOS Meraki MS320-48FP Enterprise License and Support, 7YR"," 1,890.00 "
LIC-MS320-48FP-10Y,Switches,"EOS Meraki MS320-48FP Enterprise License and Support, 10YR"," 2,360.00 "
LIC-MS350-24-1YR,Switches,"Meraki MS350-24 Enterprise License and Support, 1YR", 330.00 
LIC-MS350-24-3YR,Switches,"Meraki MS350-24 Enterprise License and Support, 3YR", 670.00 
LIC-MS350-24-5YR,Switches,"Meraki MS350-24 Enterprise License and Support, 5YR"," 1,000.00 "
LIC-MS350-24-7YR,Switches,"Meraki MS350-24 Enterprise License and Support, 7YR"," 1,335.00 "
LIC-MS350-24-10YR,Switches,"Meraki MS350-24 Enterprise License and Support, 10YR"," 1,670.00 "
LIC-MS350-24P-1YR,Switches,"Meraki MS350-24P Enterprise License and Support, 1YR", 380.00 
